text,category
የመለያ መክፈቻ ሰነዶች ምንድናቸው በባህር ዳር። በፍጥነት እንዲፈታ እፈልጋለሁ,account
የብድር ወለድ መጠን ምን ያህል ነው,loan
ሰራተኛው በአክብሮት አላገለገለኝም,complaint
የመለያ ሚስጥር ቃል ማደስ እፈልጋለሁ በመቀሌ በሞባይል ባንኪንግ። መፍትሄ እፈልጋለሁ,account
የብድር ማመልከቻዬ ለምን ዘገየ። መረጃ ይስጡኝ,loan
ኤቲኤም ገንዘብ ቆርጦ አልሰጠኝም,complaint
አዲስ የባንክ መለያ መክፈት እፈልጋለሁ,account
የብድር ሂደት እንዴት ነው በኤጀንት ባንኪንግ,loan
የOTP ኮድ አልደረሰኝም በድሬዳዋ,technical issue
ብድር ለመክፈል መረጃ እፈልጋለሁ በባህር ዳር በኦንላይን ስርዓት። ምን ማድረግ አለብኝ,loan
የባንክ ክፍያዎች በጣም ከፍተኛ ናቸው። መፍትሄ እፈልጋለሁ,complaint
Transfer አልተሳካም ገንዘብ ተቆርጧል,money transfer
የባንክ ካርድ ከመለያዬ ጋር ማገናኘት እፈልጋለሁ በጎንደር,account
Account balance ማየት አልቻልኩም,account
ቅሬታዬ አልተመለሰም,complaint
Mobile banking መተግበሪያው አይከፈትም እባክዎ ይረዱኝ,technical issue
የመለያ መክፈቻ ሰነዶች ምንድናቸው,account
የወቅታዊ መለያ መክፈት እፈልጋለሁ በመቀሌ በኦንላይን ስርዓት። እባክዎ ይረዱኝ,account
የኦንላይን ክፍያ ሲስተም አልሰራም,technical issue
በባንኩ አገልግሎት አልተደሰትኩም በአዳማ በኤጀንት ባንኪንግ,complaint
የተሰጠኝ አገልግሎት ደካማ ነበር በሀዋሳ,complaint
የባንክ ክፍያዎች በጣም ከፍተኛ ናቸው በሀዋሳ በኤጀንት ባንኪንግ። መፍትሄ እፈልጋለሁ,complaint
Loan application ለመሙላት መረጃ እፈልጋለሁ,loan
ኤቲኤም ገንዘብ ቆርጦ አልሰጠኝም በድሬዳዋ,complaint
የገንዘብ መላኪያ ማረጋገጫ አልደረሰኝም በጎንደር። መረጃ ይስጡኝ,money transfer
የቤት ብድር መረጃ እፈልጋለሁ በባህር ዳር። ምን ማድረግ አለብኝ,loan
የደንበኛ አገልግሎት በጣም ዘገየ በጎንደር። መፍትሄ እፈልጋለሁ,complaint
የኤቲኤም ሲስተም ችግር አለበት በአዳማ,technical issue
የሞባይል መተግበሪያው አይሰራም በሀዋሳ በኤጀንት ባንኪንግ,technical issue
ለንግድ ብድር መውሰድ እፈልጋለሁ። በፍጥነት እንዲፈታ እፈልጋለሁ,loan
የሲስተም ችግር ተፈጥሯል በድሬዳዋ በቅርንጫፍ። መፍትሄ እፈልጋለሁ,technical issue
የቅርንጫፍ አገልግሎት የተደራጀ አይደለም። ምን ማድረግ አለብኝ,complaint
የወቅታዊ መለያ መክፈት እፈልጋለሁ። በፍጥነት እንዲፈታ እፈልጋለሁ,account
የቅርንጫፍ አገልግሎት የተደራጀ አይደለም። መረጃ ይስጡኝ,complaint
የመለያዬን መረጃ ማዘመን እፈልጋለሁ በሞባይል ባንኪንግ። በፍጥነት እንዲፈታ እፈልጋለሁ,account
መለያዬ ታግዷል እርዳታ እፈልጋለሁ በድሬዳዋ በኮል ሴንተር። እባክዎ ይረዱኝ,account
